1. FracLac 2015Marb6206: File Slice (ROI) start position	2. Number (Ǥɴ) in SET (Ǥ) of SCAN POSITIONS (ɢ)	3. SCAN TYPE	4. Formula for FRACTAL DIMENSION (D)	5. Y₍ø₎ for the SET (Ø) of ALL (Øɴ) sampling ELEMENT SIZES (ø)	6. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	7. STANDARD DEVIATION (σ) for D	8. CV (σ/μ) for D 	9. ⋆D (D with highest r²)	10. ⋆r²	11. ⋆SE	12. ⋆Y-INT	13. Prefactor	14. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	15. Formula for Λ₍ɢ₎	16. λ₍ø₎ = (CV)² = (σ∕μ)²	17. Ｌ′ = MEAN Λ′₍ɢ₎ | Λ′₍ɢ₎ = REGRESSION LINE SLOPE for ln(λ₍ø₎+1) vs ln(ø)	18. Mean Number Of Sizes = (∑Øɴ₍ɢ₎)/Ǥɴ	19. Mean Minimum ø	20. Mean Maximum ø	21. Standard Deviation in Ø∀ ɢ∈Ǥ	22. MEAN PREFACTOR LACUNARITY	
Imagen1tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	0,9965	0,0189	0,019	1,0237	0,9982	0,0367	0,6501	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0064	
Imagen1tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	0,9965	0,0189	-0,019	1,0237	0,9982	0,0367	6,8263	Not Calculated	0,2962	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0075	100	5	233	0	0,0058	
Imagen1tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	0,9952	Not Calculated	Not Calculated	0,9952	0,9994	0,0207	7,5707	0,0005	0,2987	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0098	100	5	233	0	Not Calculated	

Imagen10tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,4461	0,0313	0,0216	1,4128	0,9831	0,1551	0,8887	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0159	
Imagen10tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,4461	0,0313	-0,0216	1,4128	0,9831	0,1551	8,4018	Not Calculated	0,1586	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0369	100	5	233	0	0,0135	
Imagen10tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,4429	Not Calculated	Not Calculated	1,4429	0,9837	0,1553	10,6434	0	0,1615	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0406	100	5	233	0	Not Calculated	

Imagen11tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,4788	0,029	0,0196	1,4476	0,9852	0,149	0,9801	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	267	0	0,0145	
Imagen11tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,4788	0,029	-0,0196	1,4476	0,9852	0,149	8,5083	Not Calculated	0,1623	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,05	100	5	267	0	0,0124	
Imagen11tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,4763	Not Calculated	Not Calculated	1,4763	0,9862	0,1465	10,9233	0	0,1649	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0528	100	5	267	0	Not Calculated	

Imagen12tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,5064	0,0302	0,0201	1,4807	0,9844	0,1559	0,7528	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0159	
Imagen12tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,5064	0,0302	-0,0201	1,4807	0,9844	0,1559	8,6837	Not Calculated	0,1594	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0415	100	5	233	0	0,0136	
Imagen12tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,5032	Not Calculated	Not Calculated	1,5032	0,9853	0,1537	10,9479	0	0,1623	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,045	100	5	233	0	Not Calculated	

Imagen13tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,5335	0,0299	0,0195	1,5025	0,9866	0,1468	0,8836	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	267	0	0,0154	
Imagen13tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,5335	0,0299	-0,0195	1,5025	0,9866	0,1468	8,7765	Not Calculated	0,1607	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0499	100	5	267	0	0,0131	
Imagen13tifŞ1_ (0, 0_1167x875) 151,125--1056,720 	12	D͞ᵪ = Box Count Binary; No filters; white; Save Results To Folder Average Cover	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ø₎ = S∕Ǥɴ | S = ∑C₍ɢ,ø₎ ∀ ɢ∈Ǥ	1,531	Not Calculated	Not Calculated	1,531	0,9877	0,1432	11,1978	0	0,1634	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0528	100	5	267	0	Not Calculated	

Imagen14tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʙ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = C₍ɢ,ø₎ = Samples of Size ø Containing Foreground Pixels (F) at ɢ	1,5549	0,0318	0,0205	1,5205	0,9859	0,1523	0,6969	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	100	5	233	0	0,0171	
Imagen14tifŞ1_ (0, 0_1200x900) 156,194--1086,713 	12	Dʍ₍ɢ₎ = Box Count Binary; No filters; white; Save Results To Folder	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Mean Foreground Pixels (F) Per Sample at Size ø at ɢ	1,5549	0,0318	-0,0205	1,5205	0,9859	0,1523	8,8968	Not Calculated	0,1586	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	for F	-0,0409	100	5	233	0	0,0145	
